sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction                                                      
11,4,202,5,0
11,4,202,6,0
11,4,202,7,0
11,4,202,8,0
11,4,202,9,0
11,4,202,10,0
11,4,202,11,0
11,4,202,12,0
11,4,202,13,0
11,4,202,14,0
11,4,202,15,0
11,4,202,16,0
11,4,212,1,1
11,4,212,2,0
11,4,212,3,0
11,4,212,4,0
11,4,212,5,0
11,4,212,6,0
11,4,212,7,0
11,4,212,8,0
11,4,212,9,0
11,4,212,10,0
11,4,212,11,0
11,4,212,12,0
11,4,212,13,0
11,4,212,14,0
11,4,212,15,0
11,4,212,16,0
11,4,222,1,1
11,4,222,2,0
11,4,222,3,0
11,4,222,4,0
11,4,222,5,0
11,4,222,6,0
11,4,222,7,0
11,4,222,8,0
11,4,222,9,0
11,4,222,10,0
11,4,222,11,0
11,4,222,12,0
11,4,222,13,0
