ID mode xcoord_p ycoord_p
1758 1 2227471 269673
1759 1 2229449 271582
1760 1 2221737 271731
1797 1 2176028 241212
1819 1 2204442 245683
1820 1 2204442 245683
1821 1 2173761 268367
1823 1 2174876 261817
1825 1 2174258 267429
1827 1 2173048 268246
1832 1 2195732 256871
1834 1 2200572 259303
1835 1 2200067 258201
1836 1 2202163 257362
1837 1 2175079 262414
1838 1 2174756 262407
1839 1 2174980 266510
1840 1 2175438 266314
1842 1 2196574 260796
1843 1 2195958 257321
1844 1 2196696 260233
1845 1 2196865 260913
1846 1 2197030 261275
1848 1 2204145 247112
1849 1 2204439 246720
1850 1 2204667 246246
1853 1 2203407 247702
1860 1 2207522 251034
1862 1 2187277 255825
1865 1 2174558 262462
1866 1 2175287 266304
1867 1 2174433 262399
1868 1 2174433 262399
1870 1 2187669 264519
1872 1 2175167 261523
1873 1 2203574 247763
1874 1 2175837 257189
1875 1 2219849 259818
1876 1 2226507 263605
1877 1 2226507 263605
1878 1 2226507 263605
1880 1 2220779 253498
1882 1 2226507 263605
1883 1 2226507 263605
1884 1 2226507 263605
1885 1 2226507 263605
1889 1 2204214 247042
1891 1 2173102 239062
1892 1 2173539 239998
1899 1 2176282 240484
1908 1 2218914 249312
1909 1 2220098 248533
1910 1 2222102 246873
1911 1 2192110 253290
1912 1 2170910 246346
1913 1 2169964 246297
1914 1 2169883 247423
1915 1 2173296 239449
1916 1 2173681 266063
1917 1 2221300 254707
1918 1 2204055 262099
1919 1 2206049 246688
1922 1 2183721 263766
