parcelid xcoord_p ycoord_p sqft_p taz_p block_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp
107 2185049.434 256906 74564 724 3 0 0 0 0 0 0 0 19 0 0 0 0 0 19 0 0 0 0
108 2186599.614 256950 81327 724 3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109 2170970 256066 4172147 249 8 0 0 0 0 0 0 0 75 0 0 0 0 0 75 0 0 0 0
110 2181512.97 258570 216835 285 9 5 0 0 0 0 0 0 0 3 69 3 0 0 75 0 0 0 0
111 2189115.124 265230 268644 284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
112 2190166.133 264977 279449 284 3 16 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0
113 2187898.533 262124 347294 292 8 47 23 14 0 7 0 0 0 0 0 0 0 0 7 0 0 0 0
114 2187073.889 261071 494317 292 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
115 2186949.91 260165 111153 288 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
116 2188106.016 260722 176288 326 8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
117 2189646.612 262827 70388 284 3 0 0 0 0 0 0 0 0 0 0 5 3 0 8 0 0 0 0
118 2189182.988 262021 164335 326 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
119 2191267.561 268667 88744 344 4 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
120 2191673.489 268486 95907 344 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
121 2186712.477 258429 149452 325 0 5 0 0 0 0 0 0 0 14 0 0 12 0 26 0 0 0 0
122 2210658.69 256150 1173758 472 0 22 0 0 0 0 0 0 35 0 4 7 0 41 87 0 0 0 0
123 2198622.175 272821 363439 341 7 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
124 2198405.508 270788 332544 898 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
125 2201122.32 271920 477296 898 1 8 0 0 0 0 0 0 10 0 9 2 2 0 23 0 0 0 0
126 2202780.599 271267 1201406 891 6 23 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 0
127 2207756.598 272350 407333 442 1 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
128 2204800.328 270214 250311 892 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
129 2208843.707 274145 1132970 442 0 19 0 0 0 0 17 0 4 1 14 94 0 0 130 0 0 0 0
130 2206285.231 272476 2367380 446 2 47 0 0 0 0 0 0 0 5 8 7 8 0 28 0 0 0 0
131 2180886.201 243320 83109 412 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
132 2184315.798 251871 64228 315 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
133 2153345.995 251475 4930582 253 0 21 0 0 0 0 27 0 0 0 26 0 0 13 66 0 0 0 0
134 2178961.994 253131 1456388 297 7 0 0 0 0 0 0 0 171 0 5 18 13 8 215 0 0 0 0
135 2182132.049 244870 92992 417 3 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
136 2185177.831 252580 79680 322 0 2 0 0 0 0 0 0 0 0 6 2 0 0 8 0 0 0 0
137 2167640.657 262101 287528 250 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
138 2167414.5 249543 613742 303 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
139 2186715.821 239699 166822 422 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
140 2166186.495 250891 562826 147 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
141 2244000.699 257509 2631788 133 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
142 2251276.207 351496 13615400 353 4 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
143 2253496.452 352365 6737437 348 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144 2264116.797 341287 21903883 366 5 61 0 0 0 0 0 0 0 0 2 3 0 0 5 0 0 0 0
145 2246056.892 332998 2159589 367 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
146 2261030.408 358052 724092 351 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
147 2243468.396 303650 728606 355 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
