ID LINKS XCOORD_P YCOORD_P
18292 3 2163461 179767
17957 3 2163239 179303
18294 1 2163926 179872
18293 1 2163145 179823
18842 1 2167470 171516
18291 1 2167390 177537
18666 1 2168839 180316
18667 3 2169158 181145
17895 3 2164845 187421
17885 3 2163576 188675
17901 3 2167524 187133
17902 3 2168366 188573
18122 3 2165151 184729
18255 3 2165254 192239
18130 3 2163849 192306
18256 1 2164765 190365
17904 4 2160903 186652
18329 3 2163053 190095
18592 3 2166339 187394
18242 3 2167259 187131
17938 1 2162456 182800
18123 1 2163177 184526
17915 3 2162369 184729
17923 3 2160970 184708
18249 3 2160904 185709
18588 1 2162830 185249
18589 3 2162497 186171
18922 1 2162259 185004
18921 3 2162170 186194
17913 3 2161435 184715
17914 3 2161895 184718
17934 3 2161686 183097
18326 3 2162041 183871
18327 2 2162072 182408
17922 3 2160940 184282
18328 1 2161440 184446
17925 1 2160671 184521
17924 1 2161899 184452
17926 1 2162364 184485
18743 1 2162137 183850
18251 3 2161944 186313
18757 3 2161219 186647
18252 1 2161384 185654
18758 1 2161100 186464
18760 1 2161260 186301
18250 1 2161955 185985
17899 1 2164277 186674
17886 1 2164557 189097
18590 3 2162948 189639
18591 1 2163419 189690
18241 3 2165999 186220
18246 1 2166367 185072
18247 1 2167259 186352
18243 3 2166980 187165
18593 1 2166385 188246
18248 1 2169999 186251
17862 1 2167218 191961
17884 3 2168430 188915
17881 3 2167622 189041
18725 3 2166264 191926
17863 3 2167405 190892
18385 3 2167852 190935
17880 1 2167559 189037
17868 1 2167363 190517
18726 1 2166332 193011
17850 3 2165873 192094
17851 1 2165895 192407
17869 3 2169411 190185
18617 1 2170051 189611
18386 1 2167852 190469
18010 3 2188538 168110
18011 3 2190121 171627
18015 3 2190155 167143
18014 3 2189950 167178
18028 2 2191946 162555
18029 1 2189754 162896
18101 3 2191937 168933
18102 3 2191895 171255
18009 3 2194827 169905
17479 4 2195594 171673
18215 3 2190715 174471
18216 1 2189724 174500
18236 3 2197649 168547
18007 3 2197560 171047
18295 3 2171807 168758
18001 3 2171836 171575
17907 2 2190749 187794
18127 3 2186679 189562
18524 3 2189748 181300
18525 3 2190279 181748
18529 2 2189738 181784
17976 3 2190493 178033
18764 1 2189689 179505
18766 3 2188127 174481
17975 3 2190513 177338
18020 3 2200623 167220
18761 4 2203661 171092
18522 3 2191004 180767
18526 3 2189782 181111
18844 2 2203385 168818
18845 2 2203714 170841
18797 2 2189123 192991
18929 4 2191094 193006
20330 3 2189620 191521
20329 3 2189920 191523
20331 3 2189624 190552
20332 3 2190035 190621
17502 4 2193063 165363
18756 1 2172288 166024
18296 1 2172498 168751
18030 1 2185620 161856
18095 1 2188743 164846
17962 1 2184821 180583
17939 3 2184191 183006
17955 3 2178188 182249
18118 3 2181458 182932
18119 3 2172905 182223
18285 3 2176985 177017
18287 1 2181302 177088
18322 1 2179848 188529
17867 3 2180639 191538
18746 1 2182052 181243
17936 3 2181437 184144
18759 1 2179277 186541
18883 2 2173008 182992
18129 2 2180126 192816
21297 3 2179958 193157
21354 1 2180865 193083
17920 3 2181419 185727
18105 3 2171480 174317
18106 3 2173690 176965
18323 1 2175324 171585
18833 2 2170991 174795
18875 2 2171641 179750
18002 3 2171678 173118
18865 2 2171629 173674
18177 2 2171459 172643
18834 2 2171220 174611
18754 2 2173834 178651
18755 3 2172876 181280
