,RespondentID,Route ,Route - In/Out Bound,Left From,Left Other,Left St No,Left St Name,Left Nearest Intersection,Left Name,Final Destination,Destination-Other,Dest St No,Dest St Name,Dest Nearest Intersection ,Dest Name,Zipcode,confidence_left,lat_left,lng_left,confidence_dest,lat_dest,lng_dest,Route,Geocode_result_left,Geocode_result_dest,Left_Add_EDIT,lat_left_EDIT,lng_left_EDIT,Dest_Add_EDIT,lat_dest_EDIT,lng_dest_EDIT
69,4241787033,16- Northgate,Out Bound,Home,,1211,Westwood,Hixson & Westwood,Home,Work,,,,,Northgate Mall,37405,9,35.0739949,-85.2902918,9,35.1300842,-85.2400216,16- Northgate,pass,pass,,,,,,
70,4241793876,19- Cromwell Road,In Bound,University / College,,,,,,,,,,,,,,,,,,,19- Cromwell Road,insufficient_data,insufficient_data,,,,,,
71,4241800017,19- Cromwell Road,In Bound,Recreation,,,,,,,,,,,,,,,,,,,19- Cromwell Road,insufficient_data,insufficient_data,,,,,,
72,4241806083,19- Cromwell Road,Out Bound,Medical/hospital,,,,,,,,,,,,,,,,,,,19- Cromwell Road,insufficient_data,insufficient_data,,,,,,
73,4241812233,19- Cromwell Road,In Bound,Home,,,,,,Work,,,,,,,,,,,,,19- Cromwell Road,insufficient_data,insufficient_data,,,,,,
74,4241816387,10- East Chattanooga,In Bound,Home,,,Dodson,,,Store,,,Northgate Mall,,,37406,6,35.0612102,-85.256152,9,35.1300842,-85.2400216,10- East Chattanooga,no_pass,pass,,,,,,
75,4241821458,10- East Chattanooga,In Bound,Home,,,,Stuart & Dodson,,Work,,,,7th & Market St,TN Bank,37406,9,35.0718804,-85.2503169,9,35.048276,-85.3103009,10- East Chattanooga,pass,pass,,,,,,
76,4241828271,10- East Chattanooga,In Bound,Home,,,Fulmer,404,,Home,,4905,17th Ave,,TN Bank,37307,9,35.0716503,-85.1945974,9,35.014097,-85.324566,10- East Chattanooga,pass,pass,,,,,,
77,4241835596,10- East Chattanooga,In Bound,Home,,2116,Wilder St,Dee & Glass,,Medical / Hospital,,,3rd ST,,Erlanger Downtown,37406,9,35.072984,-85.2502458,9,35.0485516,-85.2895013,10- East Chattanooga,pass,pass,,,,,,
78,4241843982,4- Hamilton Place,In Bound,Home,,,E 14th St,E 14th St & Hickeny,,Work,,2100,Hamilton Pl Blvd,Hamilton Blvd & Gunbarrel Rd,Hamilton Place Mall,37404,7,35.02734,-85.281023,9,35.0336912,-85.1585253,4- Hamilton Place,no_pass,pass,E 14th St & S Hickory St,35.02785094,-85.31977323,,,
79,4241852064,4- Hamilton Place,Out Bound,Home,,1,11th ,Market & 11th St,,Store,,,Hamilton Place Mall,,,37402,9,35.0440479,-85.3088152,9,35.0336912,-85.1585253,4- Hamilton Place,pass,pass,,,,,,
80,4241856924,4- Hamilton Place,In Bound,Home,,1609,S Beech St,Main & Lylery,,Home,,3524,Dodson Ave,Glass & Dodson Ave,,37406,9,35.0243421,-85.2804721,9,35.0784041,-85.2459477,4- Hamilton Place,pass,pass,,,,,,
81,4241862037,4- Hamilton Place,In Bound,Work,,2020,Gunbarrel Rd,East Gate & Hamilton,Walmart,Home,,2515,Kirb Ave,,,37417,9,35.0301589,-85.1527709,9,35.0281489,-85.2668509,4- Hamilton Place,pass,pass,,,,,,
